First Name,Last Name,age,address,city
Gene,Lambert,11,"1920 Recked Park,Zemodvod,",Hifatec
Isabel,Little,12,"1767 Iklo Highway,Garvicu,",Ilulabgu
Lelia,Kennedy,8,"1585 Voces Highway,Fiviknom,",Johmool
Bernice,Ramos,9,"405 Etiumo Pike,Abimer,",Movtitik
Lucille,Castro,10,"1112 Lirac Lane,Diurivan,",Jelulus
Craig,Tucker,10,"220 Ohemat Lane,Emsozfo,",Pozisako
Roxie,Diaz,10,"601 Fetib Circle,Dojiwoim,",Firjujdoz
Troy,Zimmerman,11,"1438 Niwa Boulevard,Lavenduw,",Haikap
Eunice,Flowers,12,"634 Cimu Road,Watocra,",Woogsab
Olive,Ellis,12,"1977 Ugolas Grove,Wehipamom,",Muritap
Erik,Dawson,12,"1216 Sinve Path,Nelpanki,",Firustul
Gabriel,Marshall,12,"1231 Baho Road,Ekdudha,",Nezvorih
Adele,Peterson,12,"1307 Bodu Pike,Opdaguv,",Werinawil
Willie,McGee,8,"1657 Jufmav Path,Madpafej,",Neduzge
Eleanor,Hoffman,9,"1278 Bopu Terrace,Wubannod,",Ciidri
Herman,Curry,10,"1985 Waclow Turnpike,Okuitom,",Tetelo
David,Rhodes,10,"21 Kura Terrace,Vuhsituv,",Gitufamu
Tom,Black,10,"1521 Lumor Street,Famopoz,",Houremis
Josephine,Fox,11,"1317 Juah Path,Fevuzgog,",Nezozi
Vincent,Colon,12,"1475 Pekgu Avenue,Zuhubup,",Fomruin
Ian,Fitzgerald,12,"1327 Lenfeb View,Pirofi,",Pubucam
Bradley,Pope,12,"1975 Cufsa Drive,Fefoil,",Wammamu
Dorothy,Goodman,12,"517 Makun Road,Hazhouwe,",Lithulkef
Angel,Ortiz,9,"1751 Nafbo Plaza,Kiejlol,",Wobiclof
Andrew,Ingram,10,"1785 Diiva Way,Lucorba,",Taacozut
Myrtie,Carlson,10,"1509 Heem Path,Darele,",Kalhunu
Nina,Guerrero,10,"571 Kahe Manor,Pigriswek,",Sogumi
Kyle,Malone,11,"1634 Owelu Place,Sarpacih,",Gaadle
Jesus,Fox,12,"843 Evodat Way,Hezian,",Aveevilod
Leroy,Tucker,12,"1244 Kohfam Glen,Dujgowepi,",Vadrasi
Marian,Jordan,12,"896 Oziba Lane,Pueniri,",Ikhawdo
Susan,Drake,12,"1196 Etamu Pike,Nafuka,",Vibiba
Jimmy,Richards,12,"1744 Defud Trail,Umuogsu,",Tahunkeb
Eva,Lawson,8,"381 Wanav Park,Lardurop,",Givucci
Louisa,Vasquez,9,"1000 Ipeje Glen,Foriwpaf,",Fuzokivu
Gary,McBride,10,"1036 Hojga Square,Jugpezwa,",Emobomdos
Celia,Rhodes,10,"1360 Gobob Junction,Ipnobiw,",Cajibuven
Cornelia,Stephens,10,"1438 Ebce Pass,Ariwhef,",Dolahago
Linnie,Matthews,11,"56 Faja Way,Guwvodneh,",Varkaan
Ada,Manning,12,"1130 Ubisu Highway,Gocjepo,",Oweubdi
Essie,Hawkins,12,"1054 Lihe Extension,Tetovhoc,",Ilirahuwe
Irene,Hale,12,"1629 Azipi Turnpike,Hafafa,",Noicvac
